Q2A,Q4A,Q7A,Q9A,Q15A,Q19A,Q20A,Q23A,Q25A,Q28A,Q30A,Q36A,Q40A,Q41A,TIPI1,TIPI2,TIPI3,TIPI4,TIPI5,TIPI6,TIPI7,TIPI8,TIPI9,TIPI10,education,urban,gender,religion,orientation,race,married,familysize,age_group,predict
2,1,0,1,1,0,1,0,0,0,0,2,1,0,6,6,7,7,3,1,5,1,2,1,3,3,2,10,1,70,2,6,4,Mild
1,0,1,1,1,1,1,1,1,1,1,1,1,1,5,5,7,6,5,6,7,5,5,6,3,1,2,10,5,10,1,7,4,Moderate
1,0,1,3,0,0,0,0,0,0,0,1,0,0,6,1,7,1,7,1,7,1,6,1,3,3,2,10,1,10,2,4,4,Normal
2,1,2,2,3,0,1,1,1,1,2,2,2,2,3,6,3,6,7,6,5,5,2,5,3,2,1,10,1,70,1,4,4,Extremely Severe
0,0,0,1,1,0,0,0,1,1,1,1,3,0,4,5,6,7,4,5,7,7,7,1,4,3,2,10,1,70,2,2,4,Mild
0,0,1,1,1,1,1,0,1,2,2,1,2,1,4,5,5,5,3,5,4,5,3,5,3,2,2,10,5,10,1,3,4,Moderate
0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,6,5,6,5,3,5,2,2,4,2,2,10,3,10,2,4,4,Normal
0,1,0,1,0,0,1,0,1,1,1,0,1,1,6,6,6,7,7,6,7,5,4,2,2,3,2,10,1,10,2,3,4,Mild
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,1,6,5,7,2,6,5,2,1,1,10,1,10,2,7,5,Normal
0,0,0,1,0,0,0,0,0,0,1,1,1,0,6,4,6,5,2,5,6,1,6,5,4,2,2,10,1,10,2,5,5,Normal
0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,7,1,4,6,7,1,7,1,4,3,2,10,1,10,2,5,4,Normal
2,2,3,2,3,1,2,0,2,2,2,3,0,3,1,2,7,6,7,7,6,2,7,6,4,3,1,1,2,60,1,2,6,Extremely Severe
0,0,0,1,1,0,3,0,0,1,2,1,2,0,3,2,3,2,5,7,2,3,5,2,3,1,1,10,5,10,2,3,4,Moderate
1,0,0,1,2,1,0,0,0,0,0,0,1,0,4,5,6,6,5,3,4,5,3,4,3,2,2,10,1,10,2,8,4,Normal
0,0,1,2,0,3,3,0,1,1,1,1,2,2,1,4,5,6,6,6,7,4,3,2,3,2,2,10,1,10,2,5,4,Severe
0,1,3,1,1,0,1,1,3,2,2,3,2,1,4,5,6,6,6,7,5,3,4,4,3,2,2,10,1,10,1,6,4,Extremely Severe
0,0,1,3,1,0,1,1,0,2,3,2,3,0,2,2,4,5,6,6,7,4,4,6,3,2,2,10,1,10,2,7,4,Severe
0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7,1,6,4,7,1,7,3,4,2,2,10,1,70,2,6,5,Normal
2,1,1,3,0,1,1,1,2,1,2,2,2,1,2,2,6,5,6,7,7,1,6,4,3,2,2,10,1,10,1,7,4,Extremely Severe
0,0,1,1,2,1,1,0,0,0,1,2,0,0,2,1,7,1,7,2,6,2,7,2,3,3,2,10,1,10,2,6,4,Mild
2,2,0,1,1,0,1,0,2,1,1,1,1,1,6,5,7,5,6,6,4,2,5,1,4,1,2,10,4,10,2,8,4,Moderate
0,0,0,1,0,0,0,0,1,0,0,1,1,0,6,5,6,6,6,2,6,3,5,3,3,2,2,10,5,10,2,6,4,Normal
1,3,1,2,0,1,1,0,2,2,2,2,3,0,6,5,5,7,5,3,7,2,2,5,4,2,2,10,1,10,1,4,4,Extremely Severe
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,6,1,5,5,5,1,6,6,3,3,2,10,5,10,2,5,4,Normal
0,1,0,1,1,0,1,0,0,0,1,0,2,0,2,7,5,6,6,7,6,6,5,7,4,3,2,10,5,70,2,4,4,Normal
0,1,0,0,0,0,2,0,1,0,2,0,1,0,3,6,6,5,6,2,6,4,4,4,4,3,2,10,1,10,2,2,4,Normal
0,0,0,1,0,0,2,0,0,0,1,1,1,1,6,3,2,4,1,3,7,6,2,6,3,1,2,12,1,60,1,2,4,Normal
1,0,0,1,0,0,1,0,1,1,1,1,2,0,5,1,5,4,7,4,6,3,3,4,3,3,2,10,4,10,1,3,4,Mild
0,0,1,1,0,1,0,0,0,1,1,1,1,1,3,1,6,2,7,1,6,5,7,1,4,3,2,4,1,10,3,4,4,Mild
0,1,1,2,0,1,1,0,1,1,1,1,2,1,3,5,6,5,5,4,7,7,2,5,3,1,2,10,1,10,1,4,4,Moderate
0,1,0,1,0,0,0,0,0,0,0,1,0,1,5,1,6,4,5,5,5,1,6,4,2,3,2,10,1,10,1,7,3,Normal
1,0,1,1,1,1,0,0,1,0,2,2,1,0,5,6,7,6,6,4,6,6,5,2,3,3,2,10,1,10,2,6,4,Moderate
1,2,2,1,0,0,1,1,2,2,2,2,1,1,3,2,4,5,5,5,4,4,3,4,3,2,2,10,3,10,1,6,3,Severe
0,1,0,1,0,0,1,0,1,0,1,1,2,2,1,1,5,6,5,7,5,4,4,4,3,2,1,10,1,10,2,5,4,Moderate
0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,7,4,3,7,1,5,5,5,7,3,3,2,10,1,10,1,7,4,Normal
3,0,2,3,1,0,3,2,2,3,3,3,2,1,1,7,4,7,3,4,7,2,2,7,4,1,2,10,1,10,1,4,4,Extremely Severe
0,0,1,2,0,0,0,0,0,0,1,1,1,0,6,1,7,7,7,4,7,1,6,4,3,3,2,10,1,70,1,5,4,Normal
1,2,0,0,1,0,1,0,0,0,0,0,1,0,6,5,5,3,5,2,7,3,4,4,4,1,2,10,4,10,2,4,4,Normal
0,0,0,1,0,0,0,0,0,0,1,0,1,0,6,2,6,1,7,4,6,5,7,5,4,1,2,10,1,10,2,6,4,Normal
1,2,1,3,2,1,1,1,1,2,3,2,2,2,1,5,6,6,6,7,7,5,2,6,3,3,2,10,1,10,1,5,3,Extremely Severe
2,1,1,2,2,2,1,0,1,2,2,1,2,1,4,5,5,5,4,4,5,5,4,5,2,1,2,4,3,10,2,4,4,Extremely Severe
3,1,1,1,1,0,2,0,1,2,1,1,2,1,4,5,5,4,5,6,5,3,4,4,4,2,2,10,1,10,2,4,4,Severe
1,0,0,1,0,0,0,0,1,0,0,0,0,0,6,6,7,1,7,5,6,5,6,5,4,3,2,10,1,10,1,5,4,Normal
1,0,1,3,0,2,2,0,1,3,1,1,3,0,5,5,7,7,5,2,5,2,4,3,3,1,2,10,1,10,2,5,4,Severe
3,3,3,1,3,3,3,1,3,3,3,1,3,1,4,7,4,7,3,7,3,7,1,7,3,2,2,10,1,10,2,3,4,Extremely Severe
0,0,0,1,0,0,1,0,0,0,2,0,1,0,2,1,7,2,6,7,6,2,7,2,3,3,1,10,5,70,2,5,5,Normal
0,0,0,0,0,0,0,0,1,0,1,0,1,0,4,2,4,5,5,6,7,3,4,7,2,3,2,10,4,10,1,8,4,Normal
2,3,2,1,1,0,0,1,1,2,1,1,1,2,5,5,6,7,6,7,6,5,4,4,4,2,2,10,1,10,2,6,4,Severe
1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,7,1,7,1,7,1,7,1,3,3,1,10,3,10,2,3,5,Normal
1,3,1,2,2,1,2,2,1,3,3,2,3,1,5,2,6,4,5,4,6,2,4,5,3,2,2,10,1,10,1,4,4,Extremely Severe
0,0,0,0,0,0,0,0,1,0,0,0,2,0,6,2,7,1,7,1,7,1,7,2,4,3,2,10,1,70,2,3,5,Normal
0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,6,3,5,2,6,5,6,3,4,3,2,10,1,10,2,6,4,Normal
0,0,1,1,0,1,1,0,1,1,1,2,2,1,5,4,6,6,3,5,4,3,4,5,3,2,2,10,1,10,1,8,4,Moderate
2,2,1,3,1,1,3,2,1,1,2,1,3,0,2,5,4,3,7,6,5,7,2,4,4,1,1,4,1,10,1,1,4,Extremely Severe
2,1,1,2,0,0,1,0,1,1,2,1,2,0,2,5,5,6,3,3,4,6,3,5,3,1,1,10,1,10,2,3,4,Moderate
0,1,0,0,0,0,0,0,0,1,1,1,1,0,4,4,6,6,5,3,6,2,4,1,4,1,2,10,1,70,2,9,4,Normal
0,0,0,1,0,0,0,0,1,0,1,1,1,0,3,3,5,3,6,5,5,2,5,6,3,2,2,10,1,10,2,4,5,Normal
2,0,0,3,2,0,2,1,1,0,1,1,1,0,4,5,1,7,5,5,5,3,5,1,4,3,2,10,1,10,2,4,4,Moderate
1,0,0,1,0,0,1,0,1,1,2,1,1,0,7,7,7,6,7,7,6,1,2,3,4,2,2,10,1,10,1,6,4,Mild
3,1,3,3,3,0,2,1,2,3,1,3,3,2,4,3,5,6,7,4,3,3,4,2,4,3,2,10,1,10,2,4,4,Extremely Severe
0,1,0,1,0,0,0,0,1,2,2,0,1,1,6,6,5,7,7,5,7,5,4,2,2,3,2,10,1,10,2,3,4,Mild
3,2,0,1,1,0,1,0,3,1,0,1,1,2,5,6,5,6,7,2,5,5,2,4,3,1,2,6,1,10,2,4,4,Severe
0,0,0,0,0,0,1,0,1,1,1,1,1,0,5,5,5,2,5,2,6,7,6,5,4,3,2,10,1,10,2,8,4,Normal
0,0,0,1,0,0,0,1,0,1,1,1,1,0,2,2,5,4,4,5,7,4,4,4,2,2,2,10,1,70,1,4,4,Normal
0,0,0,1,0,0,0,0,0,0,1,0,1,0,4,5,2,2,6,4,6,4,3,4,3,3,1,10,1,10,1,4,4,Normal
0,0,0,0,1,0,0,0,2,0,0,1,1,2,6,4,6,4,5,1,6,2,4,4,4,1,2,10,2,10,2,7,4,Normal
1,0,0,0,0,1,1,0,0,1,0,1,2,0,5,5,5,5,5,3,5,5,4,4,3,3,2,10,1,70,2,4,4,Normal
0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,7,1,6,2,4,2,7,5,4,2,2,10,1,10,2,5,4,Normal
0,2,2,1,0,0,2,0,0,3,0,2,3,0,7,7,6,6,6,6,6,5,1,5,2,3,2,10,1,70,1,3,4,Severe
1,1,0,1,0,1,0,0,0,0,0,0,1,0,5,4,3,1,6,5,6,6,6,6,3,2,2,10,1,10,2,4,4,Normal
0,0,0,0,2,0,1,0,0,0,0,0,0,0,6,3,6,1,7,3,7,5,7,5,3,2,2,10,5,10,2,4,5,Normal
0,0,1,2,0,0,0,0,3,1,1,2,2,1,7,5,7,6,7,4,7,5,2,2,3,3,2,10,1,10,1,1,4,Moderate
3,1,3,2,2,3,2,0,2,3,1,3,3,0,6,6,1,7,5,4,7,3,1,5,3,2,2,4,2,10,2,5,4,Extremely Severe
0,0,0,2,0,1,0,0,2,1,1,1,1,1,6,7,5,6,7,5,7,1,6,1,4,2,2,10,1,10,2,4,4,Moderate
0,0,0,2,0,2,1,1,1,1,1,1,2,0,5,5,7,6,7,1,6,1,4,2,3,3,2,10,1,10,2,2,4,Moderate
3,1,1,2,1,1,1,1,1,2,1,1,2,1,6,5,4,5,6,5,5,6,7,5,4,2,1,10,5,10,2,3,4,Severe
1,0,1,0,0,0,0,0,0,1,2,0,1,0,5,4,4,6,6,6,6,5,3,2,3,2,2,10,1,10,2,4,4,Normal
1,0,0,1,0,0,1,0,0,0,0,0,2,0,4,6,4,6,5,7,4,3,3,5,4,2,2,10,1,10,1,10,4,Normal
2,1,2,1,2,2,2,2,2,2,1,2,2,2,1,1,1,5,6,5,6,7,5,5,3,2,2,10,1,10,2,5,4,Extremely Severe
0,0,0,1,0,0,1,0,0,1,1,1,0,0,3,2,6,1,5,7,5,2,5,1,4,3,2,8,2,10,1,4,4,Normal
0,2,1,2,1,0,3,0,3,3,3,3,3,0,5,5,6,7,6,7,7,5,4,4,3,2,2,8,1,10,2,3,5,Extremely Severe
0,0,0,1,0,0,0,0,0,0,1,0,1,1,5,5,6,5,6,5,6,5,6,6,3,2,2,10,4,10,2,7,4,Normal
0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,6,2,6,5,6,3,6,2,3,2,1,10,1,10,2,7,4,Normal
1,0,0,1,0,0,0,0,0,0,1,0,2,1,5,5,6,3,7,5,5,3,4,3,4,3,2,10,1,10,1,5,4,Normal
0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,7,1,4,1,5,1,6,1,4,3,2,10,5,10,2,4,4,Normal
0,0,0,2,0,0,2,0,0,1,2,1,1,0,5,6,3,5,6,6,4,6,2,2,4,1,2,10,1,70,2,4,5,Mild
3,0,0,1,0,0,1,0,1,1,0,0,3,0,7,4,5,5,7,4,7,4,6,1,3,2,2,4,2,10,2,7,4,Moderate
1,2,2,2,1,1,1,1,1,1,2,1,2,1,5,4,6,5,6,7,7,6,4,5,3,1,2,6,1,10,1,3,4,Severe
0,0,0,1,0,0,1,0,0,0,1,0,1,2,1,5,5,5,5,5,2,4,2,7,3,1,2,10,4,10,1,10,4,Normal
0,1,1,1,0,0,1,1,1,0,2,1,1,1,2,4,4,6,4,7,6,6,4,5,3,2,2,10,1,10,1,4,3,Moderate
3,3,3,3,3,1,3,1,3,0,3,1,3,2,4,4,5,7,5,5,6,5,3,4,3,3,2,10,4,10,1,5,4,Extremely Severe
2,1,1,1,0,0,3,2,2,0,0,1,0,1,2,1,5,5,6,5,5,4,5,1,2,3,2,10,2,10,2,3,4,Moderate
3,3,3,1,0,0,0,1,2,0,1,3,2,3,5,7,1,5,6,7,3,7,1,5,4,3,1,7,5,70,1,4,4,Extremely Severe
1,1,3,3,2,0,0,0,2,2,3,0,1,1,6,4,7,7,5,2,6,1,3,1,3,1,2,10,1,10,2,10,4,Severe
3,1,1,1,1,0,0,1,1,1,1,1,1,1,5,5,5,3,7,1,7,7,5,5,3,2,2,10,1,10,2,0,4,Moderate
1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,5,5,5,4,3,5,5,5,5,4,3,2,10,1,10,2,3,4,Normal
3,1,1,2,1,3,2,1,1,3,2,1,2,2,5,6,5,7,5,7,7,5,1,4,4,1,2,10,1,10,2,5,4,Extremely Severe
1,2,1,2,1,0,3,0,2,2,3,3,1,1,5,5,6,7,6,7,6,5,4,4,2,1,2,10,1,70,2,3,4,Extremely Severe
2,0,0,2,0,0,1,0,0,1,2,1,2,0,3,5,5,6,5,6,7,7,3,6,4,2,2,10,1,10,2,5,4,Moderate
3,0,1,1,2,0,1,0,1,1,1,1,1,1,2,5,5,4,5,6,1,5,4,3,4,3,2,10,3,10,2,4,4,Moderate
0,2,1,2,1,0,0,0,1,0,2,1,2,1,6,5,7,2,6,1,4,1,6,4,4,3,2,10,5,10,2,6,4,Moderate
2,3,3,3,2,3,3,1,3,3,3,3,3,3,2,6,6,6,5,5,7,7,3,3,4,3,2,10,2,10,1,3,4,Extremely Severe
1,1,0,1,0,0,0,0,0,0,0,0,1,0,5,3,5,5,6,3,4,5,3,5,4,3,2,10,1,10,2,2,5,Normal
2,2,1,3,1,1,3,0,2,3,3,3,3,1,6,6,3,6,7,4,5,7,2,4,3,1,2,10,1,10,2,6,4,Extremely Severe
0,1,0,1,1,1,0,1,1,1,1,1,1,0,5,5,6,6,5,6,6,5,5,5,3,2,2,10,1,10,2,5,4,Moderate
0,1,1,2,0,0,1,0,1,1,1,1,3,0,6,7,6,5,7,3,7,1,6,2,3,3,2,10,1,10,2,3,4,Moderate
2,2,0,2,0,0,0,0,2,1,0,1,2,2,3,6,6,6,6,4,6,4,2,4,3,1,2,12,3,70,2,5,4,Moderate
1,1,0,1,1,0,0,0,0,0,1,1,1,0,6,7,5,7,6,7,5,5,3,5,3,1,2,10,2,10,2,4,4,Normal
0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,5,7,2,6,2,5,2,5,5,4,1,2,10,1,10,2,9,4,Normal
3,1,0,2,2,0,1,0,3,2,1,0,0,1,1,7,5,6,3,2,6,6,3,1,2,1,2,8,2,10,1,5,4,Severe
2,1,1,3,2,0,2,1,1,1,3,2,3,1,6,7,6,7,7,6,7,6,6,6,3,1,2,10,1,10,2,4,4,Extremely Severe
1,1,0,1,1,0,2,0,1,0,0,0,3,0,5,1,5,6,6,5,6,4,4,2,2,1,3,2,5,60,1,2,3,Moderate
3,1,0,2,0,0,1,2,1,0,1,0,2,0,6,1,7,3,7,1,7,1,6,2,4,3,2,10,2,10,2,4,4,Moderate
1,0,0,1,0,0,0,0,0,0,0,0,1,0,5,4,5,2,6,4,4,3,6,4,4,3,2,10,1,70,2,4,4,Normal
0,2,0,0,2,0,2,0,0,0,0,1,0,0,6,7,7,3,6,6,6,1,4,1,4,3,2,10,1,10,2,3,4,Normal
3,0,2,3,0,3,3,1,0,2,3,3,2,1,5,4,4,7,4,6,4,6,3,4,3,1,2,10,1,10,1,7,3,Extremely Severe
1,0,0,1,1,0,0,0,1,0,1,1,1,0,3,2,4,4,7,3,5,4,5,4,2,2,2,4,1,10,1,3,3,Normal
3,1,0,2,0,2,2,0,0,0,1,1,3,0,7,4,7,7,7,4,6,2,3,1,4,1,2,12,1,70,2,1,4,Severe
0,2,1,2,0,0,0,0,0,1,2,2,1,1,3,5,5,7,7,7,7,2,4,3,4,2,2,10,1,10,2,3,5,Moderate
0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,5,6,1,6,1,6,3,6,3,4,3,2,10,1,10,2,3,5,Normal
0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,6,1,2,2,6,6,6,2,2,1,2,10,1,10,2,6,4,Normal
3,1,2,3,2,3,2,2,3,2,2,2,3,2,6,6,5,7,1,2,7,1,5,2,4,1,2,10,5,10,2,4,5,Extremely Severe
0,1,1,1,0,1,1,0,1,1,2,1,1,1,6,7,3,7,7,2,2,7,1,6,3,2,2,10,1,10,2,2,4,Moderate
0,1,0,2,1,0,3,1,1,1,1,3,0,1,4,3,5,7,4,2,7,2,2,3,4,3,2,10,4,10,2,3,4,Severe
1,1,2,1,0,1,1,1,2,0,1,0,0,2,5,6,5,3,6,4,6,2,5,3,4,3,2,10,1,10,1,0,4,Moderate
2,1,3,1,1,0,1,2,2,1,1,0,1,0,5,6,5,5,3,2,5,2,2,6,3,3,2,10,1,10,2,3,4,Severe
0,0,0,1,0,3,1,1,1,1,1,1,1,1,4,4,5,5,4,5,5,6,4,5,3,2,2,10,1,10,1,5,4,Moderate
0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,6,5,5,3,1,5,6,2,2,3,2,2,10,1,70,2,8,4,Normal
0,0,0,1,1,0,0,0,0,0,1,0,0,0,6,3,7,4,5,1,5,5,6,2,3,2,2,10,1,10,2,2,4,Normal
0,0,0,1,0,1,0,0,0,0,0,0,1,0,6,6,7,2,6,6,6,2,7,2,2,2,1,10,5,10,2,8,4,Normal
3,2,2,3,1,2,2,2,3,3,3,2,3,2,6,6,6,7,7,6,4,7,4,4,3,3,2,10,1,70,1,1,4,Extremely Severe
1,2,1,3,1,1,2,2,3,2,1,2,3,2,6,5,6,6,5,3,3,2,2,3,3,3,2,10,3,10,1,5,3,Extremely Severe
0,0,0,1,0,1,0,0,0,0,1,0,0,0,7,5,7,1,7,5,6,6,7,6,4,2,1,10,1,10,1,4,4,Normal
0,0,0,2,0,0,1,0,1,1,1,0,1,0,7,6,5,7,7,5,6,5,3,2,4,1,2,10,1,10,1,5,4,Normal
3,1,0,1,0,0,0,0,1,0,3,0,1,0,2,6,6,2,7,6,3,2,5,2,4,3,1,10,1,70,1,3,4,Moderate
3,2,1,2,2,0,1,1,1,1,3,3,2,2,7,2,4,7,6,4,7,7,2,5,3,3,2,10,1,10,2,3,4,Extremely Severe
1,0,1,2,2,0,0,2,0,3,1,1,1,1,7,7,3,7,6,1,6,4,2,5,2,3,2,10,1,10,2,2,4,Severe
1,1,0,1,0,0,1,2,0,0,1,1,1,0,6,6,3,6,6,4,5,5,2,5,4,1,2,4,5,10,2,4,5,Mild
0,2,1,1,0,1,2,0,2,1,0,2,1,2,6,5,7,6,6,3,6,6,3,6,3,3,2,10,5,10,2,5,4,Severe
3,1,1,3,0,0,2,0,1,1,2,1,3,1,4,6,4,7,6,7,2,4,1,4,3,3,2,10,1,10,1,2,4,Severe
1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,6,5,1,5,2,6,5,5,3,4,3,2,3,1,10,2,4,5,Normal
0,2,0,2,0,0,1,0,2,3,2,2,3,1,2,5,6,7,4,6,6,5,3,3,2,3,2,7,1,60,1,2,3,Severe
1,1,0,1,1,0,0,0,0,1,1,0,1,0,4,5,6,6,5,4,6,5,5,5,3,2,2,10,1,10,2,4,6,Normal
0,2,0,1,1,0,1,0,1,0,0,0,0,0,7,2,7,3,7,1,7,3,7,1,4,1,1,8,2,10,2,10,6,Normal
0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,5,7,5,5,5,7,5,5,2,4,3,2,10,4,10,2,3,5,Normal
2,2,0,1,1,1,1,1,1,1,1,2,0,1,2,4,6,5,7,2,6,6,6,6,3,2,2,10,2,10,2,5,4,Severe
0,2,0,2,1,1,2,0,2,1,2,1,1,1,3,3,4,5,5,6,6,5,3,5,4,1,2,10,1,10,1,6,4,Severe
1,0,0,2,1,2,1,0,0,0,1,0,0,0,6,4,6,2,7,5,5,3,6,5,3,1,1,10,1,70,2,6,4,Mild
0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,7,4,7,2,7,1,7,4,4,1,2,6,1,10,2,5,4,Normal
1,2,2,2,1,1,0,1,2,2,1,1,2,2,5,5,6,7,6,6,6,7,6,6,3,3,2,6,2,70,2,5,4,Extremely Severe
0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,2,5,2,2,6,6,2,6,6,3,3,1,10,1,10,2,3,4,Normal
0,1,0,3,0,3,2,0,2,2,2,1,2,1,2,2,6,1,5,7,7,2,5,2,3,1,2,10,1,70,2,3,4,Severe
2,1,0,0,2,0,0,1,0,0,0,0,0,0,2,5,2,5,6,5,5,7,5,6,3,2,2,1,1,10,2,3,4,Normal
0,0,2,1,1,1,0,1,1,0,0,0,3,0,3,3,7,5,5,5,5,5,5,6,4,3,2,8,5,70,1,3,4,Moderate
2,1,0,3,1,1,3,1,1,3,3,3,2,0,4,5,3,7,4,6,5,2,2,7,3,3,2,10,1,10,1,4,4,Extremely Severe
1,0,1,3,3,0,3,1,0,3,3,3,3,3,5,3,7,7,7,7,7,5,5,1,4,2,2,10,5,10,1,3,4,Extremely Severe
0,1,0,1,0,0,0,1,1,1,1,0,1,0,6,5,5,5,5,4,5,5,4,5,3,2,2,4,1,10,1,6,4,Normal
1,1,1,1,1,1,0,1,1,0,0,0,0,0,5,1,7,1,7,1,7,1,6,1,4,2,2,10,5,10,2,2,4,Mild
1,1,0,1,0,1,0,0,1,1,1,0,1,0,6,4,7,4,7,3,1,5,4,3,3,3,2,6,1,70,1,4,4,Mild
0,0,0,3,1,0,0,0,2,1,1,0,2,0,4,7,3,7,5,3,7,6,4,4,2,1,2,4,5,10,2,3,4,Moderate
1,0,1,1,1,1,3,0,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,3,3,2,10,1,70,1,9,4,Moderate
1,0,0,1,0,0,0,0,0,0,1,0,1,0,5,3,5,4,4,2,5,4,5,4,3,3,2,10,1,10,1,3,3,Normal
1,0,0,2,0,0,1,1,0,1,1,1,0,0,3,3,7,5,7,6,7,7,7,3,4,3,1,10,1,10,2,4,4,Mild
1,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,6,4,5,7,1,5,7,4,4,3,2,10,1,10,2,1,4,Mild
2,0,1,2,0,0,2,0,0,2,1,3,2,1,6,6,7,6,6,5,6,5,5,5,3,3,2,10,1,10,1,7,3,Severe
0,0,0,0,1,0,1,0,1,1,1,2,0,1,4,4,7,4,4,4,4,1,4,1,3,2,2,10,1,10,1,7,4,Mild
0,0,0,2,0,0,1,0,0,1,1,1,1,0,2,5,6,5,6,5,3,3,4,3,3,1,3,1,4,60,1,2,4,Normal
0,2,0,0,0,1,0,0,2,1,0,1,0,1,6,6,4,6,6,3,5,3,4,4,4,2,2,10,1,10,2,3,4,Mild
0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,6,3,7,4,6,2,4,4,4,2,2,10,1,70,1,4,4,Normal
0,0,0,1,0,0,1,0,0,1,0,1,1,0,6,5,5,2,6,2,5,3,6,3,4,3,2,10,1,10,2,4,4,Normal
0,0,1,1,0,1,2,0,0,1,1,1,1,0,5,3,6,2,6,6,6,5,6,5,4,2,2,10,1,10,2,4,4,Mild
1,1,3,2,1,1,0,1,1,1,2,3,1,0,4,5,7,6,6,5,5,1,6,3,4,3,2,10,1,10,2,7,4,Severe
0,0,0,0,0,0,0,0,1,1,0,0,1,0,3,4,5,6,5,4,4,3,2,4,3,3,2,10,1,10,1,5,4,Normal
0,0,1,0,0,0,0,0,0,0,0,0,1,0,7,1,6,4,7,5,5,1,6,3,3,2,2,10,1,10,1,7,4,Normal
3,1,0,3,1,2,3,1,1,3,2,3,3,0,1,1,4,7,1,7,7,4,1,7,4,1,2,7,2,70,1,6,3,Extremely Severe
1,0,0,0,0,2,1,0,0,0,0,0,0,0,5,1,7,2,7,6,7,2,7,1,2,1,2,12,2,60,1,2,4,Normal
1,3,0,3,0,2,2,0,3,1,2,2,3,3,5,6,5,6,6,5,5,4,2,1,2,3,2,7,1,10,1,3,3,Extremely Severe
0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,3,6,7,5,6,4,2,2,2,10,1,10,2,4,4,Normal
2,3,0,3,2,0,3,3,3,2,3,2,3,1,3,5,5,5,4,1,7,7,7,7,3,1,2,10,2,10,1,3,4,Extremely Severe
1,1,1,1,1,0,1,1,1,1,1,1,1,1,6,2,4,6,7,6,6,6,2,6,3,2,2,10,1,10,2,8,4,Moderate
1,1,0,1,1,0,1,0,2,2,1,1,1,1,6,2,5,6,5,5,6,3,3,5,4,3,2,3,1,10,1,2,4,Moderate
0,2,0,2,0,2,2,2,0,3,1,1,2,2,5,1,6,2,7,7,7,1,6,2,3,2,1,10,1,10,1,5,4,Severe
2,1,1,1,1,0,1,0,1,1,2,3,2,2,3,1,6,6,5,1,6,2,5,1,3,2,2,10,1,70,2,5,4,Severe
1,0,0,1,0,0,0,0,1,0,1,0,1,0,7,5,4,2,6,4,5,6,6,2,3,1,2,10,1,10,1,5,4,Normal
0,0,0,1,0,1,2,0,2,0,1,3,3,1,5,6,5,7,7,5,7,7,5,6,3,1,2,10,1,10,2,7,4,Moderate
0,0,0,2,0,0,1,0,0,0,1,1,0,0,5,5,6,7,6,7,6,5,4,4,4,3,2,10,1,10,2,7,4,Normal
1,1,2,1,0,0,1,0,1,0,2,0,3,1,2,5,5,6,2,4,5,6,3,5,3,2,2,10,3,10,1,5,4,Moderate
2,1,1,3,1,0,2,0,1,2,2,1,2,1,1,4,5,5,3,7,5,6,4,3,2,3,2,10,1,10,1,7,3,Severe
2,0,0,1,0,0,1,0,1,1,0,1,0,0,6,5,6,7,7,6,6,3,1,2,3,2,2,10,1,10,1,5,3,Normal
0,0,0,2,0,0,0,0,0,0,1,0,1,0,6,3,7,5,7,2,6,6,3,3,3,1,2,10,4,70,1,4,4,Normal
0,0,0,1,0,0,1,0,1,1,0,1,2,1,4,5,6,6,5,6,7,5,3,4,3,3,2,10,1,10,2,6,4,Mild
2,3,1,2,0,0,3,0,0,0,3,3,2,1,5,4,4,5,4,5,7,7,7,1,2,3,1,10,1,10,1,3,4,Extremely Severe
0,0,0,1,0,0,0,0,0,0,0,1,1,0,5,6,7,5,3,5,7,3,3,4,4,2,2,10,5,10,1,3,4,Normal
3,1,2,2,1,3,3,1,1,2,3,1,3,3,5,3,6,6,7,5,7,5,3,2,3,2,2,10,1,10,2,6,4,Extremely Severe
0,0,0,2,3,2,2,0,1,1,3,1,3,0,2,6,7,6,3,1,7,1,2,2,4,3,2,10,1,10,2,4,4,Severe
